PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23
Cody,Bear Branch Sportsfield Park,Main,2022-06-22 17:23,54,0,2,2,2,3,3,4,2,2,2,3,4,4,5,3,3,3,4,3,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-06-22 17:23,52,-2,3,4,3,3,3,3,4,2,2,3,3,4,3,2,2,2,3,3,,,,,
Par,T.C. Jester Park,Full 21 - White Tees,2022-06-17 17:31,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
Joel,T.C. Jester Park,Full 21 - White Tees,2022-06-17 17:31,89,26,4,5,4,4,4,3,4,5,3,3,4,4,5,5,4,6,5,4,4,4,5,,
Marwan,T.C. Jester Park,Full 21 - White Tees,2022-06-17 17:31,71,8,3,3,2,2,5,3,3,4,3,4,4,3,3,3,3,4,4,4,3,4,4,,
Cody,T.C. Jester Park,Full 21 - White Tees,2022-06-17 17:31,66,3,3,4,3,4,2,2,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,,
Alex,T.C. Jester Park,Full 21 - White Tees,2022-06-17 17:31,72,9,3,4,3,3,4,4,4,4,2,4,3,3,3,4,3,3,6,4,3,2,3,,
Par,Bear Branch Sportsfield Park,Main,2022-06-15 18:32,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-06-15 18:32,59,5,4,2,3,4,3,3,2,4,3,3,4,4,4,4,3,3,3,3,,,,,
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-06-15 18:32,64,10,4,2,5,3,3,3,2,2,5,3,6,5,4,4,4,3,2,4,,,,,
DDrewjr,Bear Branch Sportsfield Park,Main,2022-06-15 18:32,66,12,3,2,3,4,3,5,2,2,5,5,3,5,4,4,4,4,5,3,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-06-14 17:02,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-06-14 17:02,54,0,3,2,3,3,3,3,2,3,4,3,4,3,3,3,2,3,3,4,,,,,
